date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name
2000-05-01,25.6,10122.9130434783,8339.52173913043,213491.75652173904,84420253.38941427,2000,5,May
2000-06-01,25.6,8384.31818181818,8602.52272727273,220224.5818181819,72126287.71177687,2000,6,Jun
2000-07-01,25.6,8174.80952380952,9133.35714285714,233813.94285714277,74663454.95578225,2000,7,Jul
2000-08-01,25.6,8038.4347826087,8438.89130434783,216035.61739130446,67835477.3875237,2000,8,Aug
2000-09-01,27.15,8624.80952380952,8629.625,234294.31874999998,74428871.88690472,2000,9,Sep
2000-10-01,27.15,7650.63636363636,8929.09090909091,242424.8181818182,68313227.60330576,2000,10,Oct
2000-11-01,27.15,7350.59090909091,9341.81818181818,253630.3636363636,68667883.8016529,2000,11,Nov
2000-12-01,30.75,7318.8,9447.65,290515.2375,69145460.82,2000,12,Dec
2001-01-01,32.1,6975.90909090909,9478.88636363636,304272.2522727272,66123849.55578509,2001,1,Jan
2001-02-01,32.1,6546.8,9626.375,309006.6375,63021951.85,2001,2,Feb
2001-03-01,32.6,6165.18181818182,10197.2954545455,332431.8318181833,62868180.53099203,2001,3,Mar
2001-04-01,33.5,6363.11111111111,11106.375,372063.5625,70671098.16666666,2001,4,Apr
2001-05-01,33.8,7086.47619047619,11272.9130434783,381024.46086956654,79885229.87991746,2001,5,May
2001-06-01,33.9,6674.33333333333,11305.8571428571,383268.55714285566,75459059.19047587,2001,6,Jun
2001-07-01,34.0,5962.54545454546,10883.3181818182,370032.8181818188,64892279.35537207,2001,7,Jul
2001-08-01,33.8,5525.63636363636,8967.86956521739,303113.99130434776,49553186.17391301,2001,8,Aug
2001-09-01,32.8,5057.65,9287.6,304633.27999999997,46973430.14,2001,9,Sep
2001-10-01,32.4,4830.78260869565,10079.3260869565,326570.1652173906,48691033.16824184,2001,10,Oct
2001-11-01,29.4,5131.31818181818,10566.1818181818,310645.7454545449,54218440.87603295,2001,11,Nov
2001-12-01,27.35,5315.82352941176,10263.6944444444,280712.0430555543,54559988.4264703,2001,12,Dec
2002-01-01,29.1,6061.36363636364,10389.0227272727,302320.5613636356,62971644.57644615,2002,1,Jan
2002-02-01,29.85,6039.95,10223.2,305162.52,61747616.84,2002,2,Feb
2002-03-01,29.55,6543.2,9907.40476190476,292763.81071428565,64826130.83809522,2002,3,Mar
2002-04-01,28.84,6956.80952380952,9495.29545454545,273844.3209090908,66056961.84956703,2002,4,Apr
2002-05-01,28.63,6771.18181818182,9113.9347826087,260931.95282608707,61712109.492094904,2002,5,May
2002-06-01,26.65,7147.61111111111,8695.325,231730.41125,62150801.58472222,2002,6,Jun
2002-07-01,24.9,7137.69565217391,8975.82608695652,223498.06956521733,64066714.835538715,2002,7,Jul
2002-08-01,24.0,6736.85714285714,8928.54545454545,214285.09090909082,60150335.22077917,2002,8,Aug
2002-09-01,24.45,6664.95238095238,8958.40476190476,219032.99642857138,59707341.147392265,2002,9,Sep
2002-10-01,26.25,6818.91304347826,9147.69565217391,240127.01086956516,62377341.200378045,2002,10,Oct
2002-11-01,26.25,7314.80952380952,9067.52380952381,238022.5,66327209.51927434,2002,11,Nov
2002-12-01,26.25,7206.33333333333,8922.52631578947,234216.3157894736,64298698.80701749,2002,12,Dec
2003-01-01,26.6785714285714,8032.806818181818,8891.04545454545,237200.39123376587,71420050.54803716,2003,1,Jan
2003-02-01,26.9464285714286,8607.9,8897.275,239749.7852678574,76586853.4725,2003,2,Feb
2003-03-01,26.1428571428571,8339.619047619048,8924.11904761905,233301.96938775477,74423753.19274378,2003,3,Mar
2003-04-01,25.125,7930.525,8798.95454545455,221073.73295454556,69780328.99659094,2003,4,Apr
2003-05-01,24.9642857142857,8347.725,8460.68181818182,211214.8782467532,70627445.13068183,2003,5,May
2003-06-01,25.8214285714286,8839.02380952381,8214.0,212097.21428571452,72603741.57142857,2003,6,Jun
2003-07-01,26.0892857142857,8831.7,8333.39130434783,217412.2267080745,73598011.98260874,2003,7,Jul
2003-08-01,27.1339285714286,9359.875,8503.90476190476,230744.3443877553,79595485.58333331,2003,8,Aug
2003-09-01,28.6071428571429,9995.772727272728,8451.68181818182,241778.46915584456,84481090.61776862,2003,9,Sep
2003-10-01,29.4642857142857,11040.28260869565,8433.82608695652,248496.66149068307,93111823.47258976,2003,10,Oct
2003-11-01,32.0491071428571,12052.375,8492.3,272170.6325892854,102352384.21249999,2003,11,Nov
2003-12-01,36.4285714285714,14185.20952380952,8483.52380952381,309042.65306122426,120340562.73832196,2003,12,Dec
2004-01-01,40.4464285714286,15089.33333333333,8381.19047619048,338989.2219387759,126466576.82539687,2004,1,Jan
