date,coal_price_usd,nickel_price_usd,usd_idr,coal_price_idr,nickel_price_idr,year,month,month_name,coal_mom_change,nickel_mom_change,coal_yoy_change,nickel_yoy_change,coal_ma3,coal_ma12,nickel_ma3,nickel_ma12,coal_volatility,nickel_volatility,coal_nickel_ratio,coal_above_ma12,nickel_above_ma12,market_period
2003-09-01,28.6071428571429,9995.772727272728,8451.68181818182,241778.46915584456,84481090.61776862,2003,9,Sep,5.429417571569628,6.793869867628866,17.002629272568104,49.97515594919217,27.276785714285733,26.35491071428572,9395.782575757576,8302.083608601542,0.9541169960917762,916.4684674360279,0.0028619240990834477,1,1,China boom
2003-10-01,29.4642857142857,11040.28260869565,8433.82608695652,248496.66149068307,93111823.47258976,2003,10,Oct,2.9962546816477476,10.449516109675594,12.244897959183621,61.90678101189147,28.401785714285733,26.62276785714286,10131.976778656126,8653.864405702992,1.3076686023551818,1089.2867165012244,0.002668798142094548,1,1,China boom
2003-11-01,32.0491071428571,12052.375,8492.3,272170.6325892854,102352384.2125,2003,11,Nov,8.772727272727177,9.167268875048507,22.091836734693725,64.76676474992034,30.04017857142857,27.10602678571428,11029.476778656126,9048.661528718865,2.029637244195492,1379.6715722799959,0.0026591528344294883,1,1,China boom
2003-12-01,36.4285714285714,14185.20952380952,8483.52380952381,309042.65306122426,120340562.73832196,2003,12,Dec,13.664855829502764,17.696383690430473,38.77551020408154,96.84364943535122,32.6473214285714,27.95424107142857,12425.955710835056,9630.234544591882,3.3419801947022996,1903.8156942354851,0.002568067208836567,1,1,China boom
2004-01-01,40.4464285714286,15089.33333333333,8381.19047619048,338989.2219387759,126466576.82539688,2004,1,Jan,11.029411764706044,6.373707825790387,51.60642570281151,87.84633659033665,36.3080357142857,29.1015625,13775.639285714284,10218.278420854507,4.875620294444095,2392.604005775939,0.002680464913720196,1,1,China boom
2004-02-01,44.7321428571429,15099.35,8431.0,377136.69642857177,127302619.85,2004,2,Feb,10.596026490066258,0.06638243350713946,66.0039761431411,75.41270228511021,40.5357142857143,30.58370535714286,14791.297619047618,10759.232587521174,6.5698891403045865,2708.4053911377687,0.0029625210924405948,1,1,China boom
2004-03-01,52.4330357142857,13786.54347826087,8579.73913043478,449861.7682453414,118284946.5538752,2004,3,Mar,17.215568862275312,-8.694457190138182,100.5635245901642,65.31382788038638,45.87053571428573,32.77455357142858,14658.408937198066,11213.142956741327,8.918174445742226,2722.427450531335,0.0038032038847854825,1,1,China boom
2004-04-01,57.0535714285714,12725.9,8613.54545454545,491433.5308441554,109615118.09999996,2004,4,Apr,8.812260536398453,-7.693324145630354,127.07889125799565,60.46730828034714,51.40625,35.435267857142854,13870.597826086958,11612.75754007466,10.958078887844442,2542.8022283394357,0.004483264164308332,1,1,China boom
2004-05-01,60.46875,11228.60526315789,9001.47619047619,544308.0133928572,101074022.9285714,2004,5,May,5.985915492957794,-11.765727664386095,142.22103004291858,34.51096272526812,56.6517857142857,38.393973214285715,12580.34958047292,11852.830895337816,12.55120760039566,2333.9351823623056,0.005385241406464226,1,0,China boom
2004-06-01,63.8035714285714,13599.36363636364,9383.72727272727,598715.3133116879,127612719.446281,2004,6,Jun,5.51495016611292,21.113560568242896,147.0954356846469,53.855945287880026,60.44196428571427,41.559151785714285,12517.956299840509,12249.5258809078,13.817707586666916,2174.20263997068,0.0046916586051104344,1,1,China boom
2004-07-01,65.7589285714286,15020.06818181818,9030.95454545455,593865.8948863641,135645553.01962814,2004,7,Jul,3.064651553316633,10.446845774869097,152.05338809034933,70.06995461596497,63.34375,44.86495535714286,13282.679027113236,12765.22322939265,14.508279346738476,2018.1398758246562,0.004378071242781035,1,1,China boom
2004-08-01,63.4821428571429,13639.61904761905,9240.63636363636,586615.3977272729,126038759.75757574,2004,8,Aug,-3.4623217922606697,-9.190698187842894,133.95853899308975,45.72437182781874,64.34821428571429,47.893973214285715,14086.35028860029,13121.868566694238,14.262164935178985,1717.3868856864467,0.004654246033962688,1,1,China boom
2004-09-01,59.3303571428571,13430.36363636364,9174.13636363636,544304.7869318177,123211987.41322312,2004,9,Sep,-6.5400843881857735,-1.5341734290734266,107.39700374531789,34.360434183541244,62.85714285714287,50.45424107142856,14030.016955266956,13408.084475785146,13.203485177487297,1407.2298486991037,0.004417628498324204,1,1,China boom
2004-10-01,60.6696428571429,14378.476190476193,9095.38095238095,551813.5140306125,130777718.46712016,2004,10,Oct,2.257336343115268,7.059470463967732,105.90909090909113,30.23648669239032,61.1607142857143,53.0546875,13816.152958152961,13686.267274266858,11.678576257278193,1213.1776712967037,0.004219476532383061,1,1,China boom
